原文;日本語訳
%d - Demon Frenzy;%d - デーモン・フレンジー
Demon Frenzy;デーモン・フレンジー
Demon units are also affected;デーモンユニットも影響を受ける。
%d - Blindcasting;%d - ブラインド・キャスティング
Blindcasting;ブラインド・キャスティング
Sight of Blood can be cast without line of sight;視界外からもSIGHT OF BLOODを発動できる。
Learn New Spell (S);呪文を学ぶ (S)
Learn a new spell;呪文を学ぶ
Learn New Skill (K);スキルを学ぶ (K)
Learn a new skill;スキルを学ぶ
Learn %s for %d SP?;%sを%d SPで学ぶ？
%s gains [%d_damage:damage];%s を強化する:\n%d ダメージ
%s gains [%d_range:range];%s を強化する:\n%d 射程
%s gains [%d_max_charges:max_charges];%s を強化する:\n%d 最大チャージ
%s gains [%d_radius:radius];%s を強化する:\n%d 半径
%s gains [%d_minion_damage:minion_damage];%s を強化する:\n%d ミニオンダメージ
%s gains %d Stun Duration;%s を強化する:\n%d スタン持続
%s gains [%d_num_targets:num_targets];%s を強化する:\n%d ターゲット数
%s gains %d Max Channel;%s を強化する:\n%d 最大チャネル
%s gains [%d_cascade_range:cascade_range];%s を強化する:\n%d カスケード範囲
%s gains [%d_arcane:arcane];%s を強化する:\n[%d_秘術:arcane]
%s gains [%d_dark:dark];%s を強化する:\n[%d_暗黒:dark]
%s gains [%d_minion_range:minion_range];%s を強化する:\n%d ミニオン範囲
%s gains [%d_minion_duration:minion_duration];%s を強化する:\n%d ミニオン持続
%s gains [%d_minion_health:minion_health];%s を強化する:\n%d ミニオン体力
%s gains [%d_duration:duration];%s を強化する:\n%d 持続時間
%s gains -%d Requires Los;%s を強化する:\n-%d 視界強化
%s gains %d Storm Power;%s を強化する:\n %d 稲妻の力
%s gains %d Petrify Duration;%s を強化する:\n %d 石化持続
%s gains %d Minion Attacks;%s を強化する:\n %d ミニオン攻撃回数
%s gains %d Demon Units;%s を強化する:\n %d デーモン・ユニット
%s gains %d Shield Burn;%s を強化する:\n %d シールドバーン
%s gains [%d_shields:shields];%sは[%d_シールド:shields]を獲得する
%s can be upgraded with only %d %s upgrade;\n%s は%dつの %s アップグレードが可能
bolt;ボルト
damage;ダメージ
type;タイプ
minion;ミニオン
Upgrades Available;つのアップグレードが可能
%d - Damage;%d - ダメージ
Damage;ダメージ
%d damage;%d ダメージ
%d - Max Charges;%d - マックスチャージ
Max Charges;マックスチャージ
%d max charges;%d マックスチャージ
%d - Minion Damage;%d - ミニオンダメージ
Minion Damage;ミニオンダメージ
%d minion damage;%d ミニオンダメージ
%d - Minion Range;%d - ミニオン範囲
Minion Range;ミニオン範囲
%d minion range;%d ミニオン範囲
%d - Minion Duration;%d - ミニオン持続
Minion Duration;ミニオン持続
%d minion duration;%d ミニオン持続
%d - Minion Health;%d - ミニオン体力
Minion Health;ミニオン体力
%d minion health;%d ミニオン体力
%d - Duration;%d - 持続
Duration;持続
%d duration;%d 持続
%d - Extra Bolts;%d - 追加ボルト
Extra Bolts;追加ボルト
%d - Range;%d - 射程
Range;射程
%d range;%d 射程
%d - Radius;%d - 半径
Radius;半径
%d radius;%d 半径
%d - Num Targets;%d - ターゲット数
Num Targets;ターゲット数
%d num targets;%d ターゲット数
%d - Stun Duration;%d - スタン時間
Stun Duration;スタン時間
%d stun duration;%d スタン時間
%d - Chaos Ball;%d - カオス・ボール
Chaos Ball;カオス・ボール
%d - Energy Ball;%d - エナジー・ボール
Energy Ball;エナジー・ボール
%d - Ash Ball;%d - アッシュ・ボール
Ash Ball;アッシュ・ボール
Fireball randomly deals [%a], [%a], or [%a] damage.  If a unit is resistant to one or more of these damage types, fireball deals the damage type that unit is least resistant to.;FIREBALL はランダムに[%a] [%a] [%a]のダメージを与える。敵がこれらのダメージタイプのうち1つ以上に耐性を持っている場合、FIREBALLはそのユニットが最も耐性を持っていないダメージタイプを与える。
Fireball blinds for %d turn.;FIREBALLは%dターンの盲目を与える。
Fireball can be upgraded with only %d damage type upgrade;FIREBALLのダメージタイプのアップグレードは%dつだけ可能。
%d - Meteor Size;%d - 隕石の大きさ
Meteor Size;隕石の大きさ
Increase the physical damage and stun radius from %d to %d;物理ダメージとスタン半径を%dから%dに増やす。
%d - Max Channel;%d - 最大チャネル
Max Channel;最大チャネル
%d max channel;%d 最大チャネル
%d - Withering;%d - ウィザリング
Withering;ウィザリング
Non living units damaged by Death Bolt lose max hp equal to the damage dealt.;DEATH BOLT によってダメージを受けた非生物は、受けたダメージと同じだけ最大HPを失う。
%d - Soul Battery;%d - ソウル・バッテリー
Soul Battery;ソウル・バッテリー
Deathbolt permenantly gains %d damage whenever it slays a living target.;DEATH BOLT は生物を倒す度に永久的に%dダメージを得る。
%d - Channeling;%d - チャネリング
Channeling;チャネリング
Lightning bolt can be channeled for up to %d turns.;LIGHTNING BOLT は最大%dターンの間、チャネリング出来る。
%d - Judgement Bolt;%d - ジャッジメント・ボルト
Judgement Bolt;ジャッジメント・ボルト
Lightning bolt also deals holy and dark damage;LIGHTNING BOLTは[破邪:holy]と[暗黒:dark]のダメージも与える。
%d - Energy Bolt;%d - エナジー・ボルト
Energy Bolt;エナジー・ボルト
Lightning bolt also deals fire and arcane damage;LIGHTNING BOLTは[炎:fire]と[秘術:arcane]のダメージも与える。
%d - Cascade;%d - カスケード
Cascade;カスケード
Hits from Annihilate will jump to nearby targets if the main target is killed;敵を倒した時、ANNIHILATEは近くの敵に連鎖する。
%d - Dark Annihilation;%d - ダーク・アナイアレイション
Dark Annihilation;ダーク・アナイアレイション
Annihilate deals an additional dark damage hit;ANNIHILATEは追加の[暗黒:dark]ダメージを与える。
%d - Arcane Annihilation;%d - アルケン・アナイアレイション
Arcane Annihilation;アルケン・アナイアレイション
Annihilate deals an additional arcane damage hit;ANNIHILATEは追加の[秘術:arcane]ダメージを与える。
%d - Void Teleport;%d - ヴォイド・テレポート
Void Teleport;ヴォイド・テレポート
Teleport deals arcane damage to all enemy units in line of sight of the targeted tile equal to its maximum number of charges.;テレポートは、対象タイルの視界内にあるすべての敵ユニットに対して、その最大チャージ数に等しい[秘術:arcane]ダメージを与える。
%d - Blindcasting;%d - ブラインドキャスティング
Blindcasting;ブラインドキャスティング
Thunderstrike can be cast without line of sight;Thunderstrikeは視界がなくてもキャスト可能。
%d - Storm Power;%d - ストーム・パワー
Storm Power;ストーム・パワー
Radius and stun duration are doubled if the target is inside of a storm cloud.;ターゲットが嵐の雲の中にいる場合、範囲とスタンの持続時間は倍となる。
%d - Heaven Strike;%d - ヘブン・ストライク
Heaven Strike;ヘブン・ストライク
Thunder Strike also deals holy damage;Thunder Strikeは[破邪:holy]ダメージも与える。
%d - Petrify Duration;%d - 石化持続
Petrify Duration;石化持続
%d - Glassify;%d - ガラス化
Glassify;ガラス化
Turn the target to glass instead of stone.  Glass targets have -%d physical resist.;対象を石ではなく[ガラス:glass]に変える。[ガラス:glass]の対象は物理抵抗が-%dとなる。
Turn enemies to glass instead of stone, makeing them take double physical damage instead of one quarter.;敵を石ではなく[ガラス:glass]に変える、これにより敵は1/4ではなく2倍の[物理:physical]ダメージを受ける。
%d - Leap Range;%d - 飛躍範囲
%d - Pounce;%d - パウンス
Pounce;パウンス
Summoned wolves gain a leap attack;召喚されたウルフは飛躍攻撃を獲得する。
%d - Blood Hound;%d - ブラッド・ハウンド
Blood Hound;ブラッド・ハウンド
Summon blood hounds instead of wolves.;ウルフの代わりにブラッド・ハウンドを召喚する。
%d - Ice Hound;%d - アイス・ハウンド
Ice Hound;アイス・ハウンド
Summon ice hounds instead of wolves.;ウルフの代わりにアイス・ハウンドを召喚する。
%d - Clay Hound;%d - クレイ・ハウンド
Clay Hound;クレイ・ハウンド
Summon clay hounds instead of wolves.;ウルフの代わりにクレイ・ハウンドを召喚する。
%d - Wolf Pack;%d - ウルフ・パック
Wolf Pack;ウルフ・パック
Each cast of wolf consumes %d charges and summons %d wolves.;WOLFの各キャストは2チャージを消費し、4匹のウルフを召喚する。
Gain +%d damage for %d turns with each attack;+各攻撃で%dダメージを得る(%dターン毎)
%d - Thorns;%d - ソーンズ
Thorns;ソーンズ
%d - Regen Buff;%d - リジェンバフ
Regen Buff;リジェンバフ
